"","AMHE_ANG","AMHE_VOLT","BOWM_ANG","BOWM_VOLT","CLAR_ANG","CLAR_VOLT","CROSS_ANG","CROSS_VOLT","GRAN_ANG","GRAN_VOLT","MAPL_ANG","MAPL_VOLT","TROY_ANG","TROY_VOLT","WAUT_ANG","WAUT_VOLT","WINL_ANG","WINL_VOLT"
"137","-0.8036376257687299","0.0","-0.8200598453113707","-0.704474759375139","0.0","0.0","-0.8011760744858436","-0.7417434233412007","-0.8058771976634435","-0.7938952229915993","-0.8114287174564243","-0.7662166711639034","-0.8038008826862556","-0.7264970849724808","-0.8037185593535359","-0.7785432232159735","-0.8067505861600213","0.0"
"138","-0.1449105827841537","-0.25","-0.06596515161020125","0.3081052813705959","0.0","0.0","-0.04940126548037764","0.26409809307260107","-0.16516889186492587","0.1488134256041017","-0.2697049578342944","0.1201933371573393","-0.039239536274546356","0.291096778251105","-0.14096801697380568","0.20896511854000682","-0.34864750136638656","-0.75"
"139","-0.815983322761322","0.0","-0.8300500339632932","-0.6492060175828142","0.0","0.0","-0.8171114528284961","-0.6764766572224377","-0.8136092963754238","-0.6859656881285411","-0.8152714658494273","-0.6815961942089122","-0.7971642204594098","-0.651546598757748","-0.8148593223594415","-0.6876987456663489","-0.8111350492627375","0.0"
"14","-0.13364585445996832","-0.75","-0.051914260020935396","0.3121067087360997","0.0","0.0","-0.03926821830821569","0.26639828134732374","-0.15372448420538037","0.15269600213415052","-0.257340590630048","0.12549979577640982","-0.022393044279271922","0.29856785444296674","-0.12978617673593623","0.2125249249961577","-0.3359125022317202","-0.5"
"140","-0.11608374295324968","0.0","-0.03218945840336584","0.31811011484225254","0.0","0.0","-0.014568993457894102","0.27654918726534294","-0.13873513191465675","0.15608136851360102","-0.24416151014229323","0.12845683219390464","-0.011860625785962916","0.29921063258334485","-0.11234763962437445","0.2186115123011868","-0.3223383681224054","-0.25"
"141","0.6231281254631563","0.0","0.7586570758268913","0.3405770620797561","0.0","0.0","0.6519487744955956","0.4408185085157947","0.6121570591709576","0.4749018712379911","0.5890810628441099","0.4254282965144533","0.7982974470452622","0.46792472953627395","0.6215753482605239","0.47011643934940023","0.6300521758649815","-0.5"
"142","-0.11324139580502436","0.0","-0.02321588681940425","0.32262370940014495","0.0","0.0","-0.007288128031662476","0.28089395809398754","-0.13736624575126657","0.15542196882507364","-0.24068364669425663","0.13033800999388323","-0.002125134523628917","0.3056191236784105","-0.10952338392223765","0.219777323405168","-0.31875625289809995","0.0"
"143","-0.8453881649705822","-0.5","-0.8386943560675925","-0.7883377527698515","0.0","0.0","-0.847493902244931","-0.8288647399171691","-0.8447618266463032","-0.7655675455458856","-0.8397376341943354","-0.7961183637986106","-0.8013619713613348","-0.8097086225892267","-0.8452849652924936","-0.8006535158683838","-0.835756490966026","0.0"
"144","0.5881003235567597","0.0","0.7195675292554301","0.3270145525743239","0.0","0.0","0.6091702557133523","0.4222142633449307","0.5807755215906537","0.524930752349675","0.5611180257598373","0.4351217206885071","0.7736830683685453","0.42695842466287987","0.5871347403949012","0.49075537869462066","0.6012073087340442","0.0"
"145","-0.8210130941143384","0.0","-0.8333908880530349","-0.7924684943968361","0.0","0.0","-0.8074398849588892","-0.8206334960003591","-0.8274158931780389","-0.8300231406550455","-0.8363357195092215","-0.8364458905500874","-0.838685194260653","-0.8486972194784136","-0.8215897505891716","-0.835771199655862","-0.832047419109071","-0.5"
