"","AMHE_ANG","AMHE_VOLT","BOWM_ANG","BOWM_VOLT","CLAR_ANG","CLAR_VOLT","CROSS_ANG","CROSS_VOLT","GRAN_ANG","GRAN_VOLT","MAPL_ANG","MAPL_VOLT","TROY_ANG","TROY_VOLT","WAUT_ANG","WAUT_VOLT","WINL_ANG","WINL_VOLT","cluster","dist"
"4","-0.1466880044968064","-0.25","-0.058856051520176846","0.3132383894281591","0.0","0.0","-0.04705524152190586","0.2671886265357256","-0.16824396106300044","0.1466246295764971","-0.26872710520442505","0.1221690890061643","-0.027212805412898555","0.30132521974526477","-0.14272990657773174","0.20863510020397644","-0.34764033681121687","-0.25","2","1.5610678646251706"
"40","-0.13508996820120964","0.0","-0.0372531231187362","0.32326790497030217","0.0","0.0","-0.02216751550124946","0.28090648766546567","-0.1611112124660366","0.14587869188605965","-0.26006149979627335","0.12449292208460445","-0.01294541755533353","0.3081915178789679","-0.13120843580811478","0.2131286381600175","-0.3387149728559739","0.0","2","1.636912163819369"
"41","0.41130065759551354","-0.5","0.17973507895879304","0.12083373505389958","0.0","0.0","0.2628784905012239","0.0832688580361481","0.4491014561328355","0.1409983273096031","0.586838587860958","0.24948622549661892","0.08973926124450408","0.037810749750987305","0.4081803986294656","0.10499877042983818","0.6285412155929246","0.0","3","0.3966397575913639"
"42","0.6181920586191589","0.0","0.7533245582833944","0.31812535475511217","0.0","0.0","0.6485163173917274","0.4384460242802862","0.6068624675779184","0.4770363810144388","0.5846337770683027","0.40057287243286005","0.794626051967824","0.4063186578977394","0.6166972058478684","0.470609926028458","0.6255836004999449","0.0","0","0.1230097477077085"
"43","-0.8057624250928879","-1.0","-0.8198246080174009","-0.7441677197910201","0.0","0.0","-0.7961975061365777","-0.7713966981380672","-0.8105473775026847","-0.8063040304034538","-0.81814758224465","-0.8015390770942414","-0.8150508247333715","-0.7960990073908577","-0.8060712566951642","-0.7996285639207091","-0.8134917286262093","-0.25","2","1.7229630728544998"
"44","0.5979043688026449","-0.25","0.7349509238589088","0.32777057572363655","0.0","0.0","0.634315353299423","0.42262080663420903","0.5852597309018768","0.5034826387342916","0.5640877773054835","0.4282669752542497","0.7732776243762185","0.43771825146089655","0.5967239885965852","0.48006613576020124","0.6042969195743096","-0.25","1","0.19172320786509583"
"45","0.39166301685409427","-0.5","0.1594659577030334","0.11673141143275553","0.0","0.0","0.2553797444542582","0.09070636550999565","0.4265360936300932","0.14071468204199586","0.5619520207652787","0.24929421427006998","0.05570387477395982","0.014409111294277783","0.38881965642240307","0.11121900290614734","0.6029095325630724","-0.5","3","0.3706115474071514"
"46","-0.8690768784005485","-0.5","-0.8725014304140813","-0.8299655324700569","0.0","0.0","-0.896502017510274","-0.9123644315819677","-0.8612168593363387","-0.77997343698421","-0.8567790798476029","-0.7877897936805957","-0.8254375815848468","-0.7716200869608438","-0.8692218924526197","-0.8427058197621775","-0.8533510379378263","0.0","2","1.7564989826960105"
"47","0.362523598032847","0.0","0.12828995312489394","0.11481081988573522","0.0","0.0","0.21796952542650275","0.08363478355450125","0.4005473029214394","0.13881018234112047","0.5333114496105772","0.24804500548011896","0.036517804886812104","0.01157843555706659","0.35994471365741454","0.10678715322906601","0.5734161567487338","-0.25","3","0.24773412357626856"
"48","-0.9539590881029979","0.0","-0.9644206200633019","-0.9750232942648834","0.0","0.0","-0.9766453072716135","-1.0","-0.950658166936852","-0.9808176250292714","-0.9521033086521435","-0.96910836583943","-0.9523297534794286","-0.9505458728940474","-0.955094876293205","-0.9999999999999999","-0.9506042802244241","0.0","2","2.2168730025008947"
"49","0.578935426618662","-0.25","0.7111525464728657","0.3251172465140434","0.0","0.0","0.6051267950719728","0.41387166696288813","0.5696454326446775","0.4891860228898012","0.550178827805095","0.41630522511873486","0.7615294561856619","0.4254553390108807","0.5778285588518582","0.46747268339904835","0.590024900798764","0.0","0","0.18859144897012312"
"5","-0.8774954159197649","-0.25","-0.8848597849057934","-0.7260004758730051","0.0","0.0","-0.8703433573156379","-0.7176293012541578","-0.8771544532688075","-0.7311810354471324","-0.8770481751565493","-0.7515793051833226","-0.861498074777549","-0.7491605803965028","-0.8762678595959852","-0.7348186154231214","-0.8744110808610621","-0.5","2","1.6055662382627447"
"50","0.38704237786144424","0.0","0.14942282017884437","0.11330804146252715","0.0","0.0","0.24334607099684047","0.08413734080078673","0.42412253375421366","0.13973015641238976","0.5592956009079295","0.2486815121240929","0.04960051247290118","0.011405351213409756","0.384199416861657","0.10663975368701487","0.6001762896242078","-0.5","3","0.3181297410301766"
"51","-0.8728135538119198","-0.25","-0.8656911449477908","-0.7224067526997827","0.0","0.0","-0.8519573587942711","-0.7456331733537935","-0.8777564745464588","-0.7662506556595066","-0.8724470623631816","-0.761253049513954","-0.8432899256766241","-0.7223284902606474","-0.8720427900732857","-0.7691798670146329","-0.8696231253497253","-0.25","2","1.5845385842707826"
"52","0.5851731387368303","0.0","0.7206317111259611","0.3431755691321285","0.0","0.0","0.6195911687655132","0.41737213355416225","0.5734032518080465","0.5040447178001974","0.5524522590519586","0.44475656200594305","0.7604504023926509","0.4750667364433779","0.5841099733595725","0.4782100525334661","0.5922384669282226","0.0","0","0.13425026417324307"
"53","0.39935462409547706","-0.25","0.16304571778155522","0.11669896361545105","0.0","0.0","0.24876858388596662","0.08026884557641902","0.4380694626569841","0.1400113737995638","0.5746771971166259","0.24886383186353378","0.0719803084826095","0.027248197219497727","0.39634360872534663","0.10325923833333672","0.616018126880342","0.0","3","0.27492261005580876"
"54","0.626871132593928","0.0","0.7674730510623635","0.3032312257700383","0.0","0.0","0.6553928438170437","0.4193924861983751","0.615767228405625","0.496037861328264","0.5964238446071033","0.4100464191826882","0.8165020715214042","0.40459416254755204","0.6253063079488841","0.4728396589283608","0.6376843569241311","0.0","0","0.13276989581259677"
"55","-0.12475043355227383","-0.25","-0.03791732897119096","0.3186288594001758","0.0","0.0","-0.017903794182831084","0.27851657923711515","-0.1489742604835534","0.15160633712352398","-0.25334930491948227","0.12498701605414857","-0.01970583047722242","0.29787995702191666","-0.1209468770997482","0.21621849170560806","-0.33180157449634823","0.0","2","1.6197448586545493"
