"","cluster","dist_0","dist_1","dist_2","dist_3","dist_4","dist_5","mindist"
"1","0","0.2696496982452224","2.352625040433871","5.370835672071876","5.291096567292863","1.36619690408031","1.4942454886336485","0.2696496982452224"
"10","0","0.3038818413528099","2.2820315248343492","5.279776346814505","5.216287786400841","1.3417812408890488","1.2844157389809503","0.3038818413528099"
"100","1","2.3186557802247094","0.022223485870064077","3.3693058972708307","3.2819355543692317","1.727272799768711","1.7676565738516663","0.022223485870064077"
"101","5","1.619997532325639","1.8315167491025732","4.267374711477349","4.2172053793180995","0.9553002204576043","0.4961162070048432","0.4961162070048432"
"102","1","2.279310317840776","0.24059414396526985","3.4089477679536406","3.329802386543759","1.6829352909891353","1.8002733961607347","0.24059414396526985"
"103","5","1.386503274545048","1.742764403735184","4.308242461490761","4.204360161188207","0.4703306159426026","0.2279364514420951","0.2279364514420951"
"104","1","2.2793931860861742","0.2534182231549198","3.450757461479186","3.323765082972761","1.70509870785661","1.7403573105887435","0.2534182231549198"
"105","3","4.975655026227884","2.9718040117366904","0.5088931146938936","0.4138527492904028","3.9413296800802833","3.962943002386372","0.4138527492904028"
"106","1","2.4203322450243774","0.5658016762510888","3.3271653125660277","3.316243788361869","1.8471192421468625","1.8229336303098436","0.5658016762510888"
"107","0","0.3334664620748349","2.3425197720680675","5.391071454986833","5.301828103454788","1.433074587739471","1.3726033360606997","0.3334664620748349"
"108","4","1.368638425561024","1.7988591716199138","4.288883037010041","4.2620271106031975","0.2936713334259908","0.7005546697201217","0.2936713334259908"
"109","1","2.4146811825874623","0.26315178412696083","3.2712908945730206","3.2249105452795295","1.7965567028371754","1.840765965540959","0.26315178412696083"
"11","1","2.330917437321048","0.03279430997189334","3.3495478145564332","3.261693875265593","1.7233175874206412","1.7637529182987008","0.03279430997189334"
"110","3","5.502231494125932","3.5211579199191494","0.6199040452828855","0.335362261017152","4.449501710894358","4.496686268757695","0.335362261017152"
"111","3","5.541449640213168","3.5968750803994283","0.6383794627489253","0.3865207498883624","4.480502914693398","4.5272360142060055","0.3865207498883624"
"112","3","5.1756887320136125","3.2274357581721502","0.6975366640990343","0.32941348603110376","4.140471816785618","4.126291527050504","0.32941348603110376"
"113","4","1.3734952321924507","1.7540483395903945","4.268648402326174","4.208807399702216","0.10507795601869742","0.6298816251564154","0.10507795601869742"
"114","1","2.3479403183595684","0.34437002111362175","3.4037779216232877","3.282530819053184","1.743482228732022","1.8519908518540715","0.34437002111362175"
"115","0","0.1356270857899451","2.3367362638175893","5.372119142747486","5.313150353657992","1.3838054447170713","1.4256221488466758","0.1356270857899451"
"116","1","2.3024239039735215","0.23759919714399685","3.384577384617558","3.3049150415832957","1.6951821601851815","1.8117917481187644","0.23759919714399685"
"117","5","1.3842853851034964","1.7180188158202212","4.253748654911792","4.214823852146239","0.4955305774054608","0.3391066469709168","0.3391066469709168"
"118","3","5.646105844560271","3.718351476242943","0.7074084118380051","0.508422600306561","4.585100343940275","4.630738994571921","0.508422600306561"
"119","4","1.3340253326280909","1.7898752467219028","4.316348383768684","4.25710135214741","0.11324503795068389","0.6308814879620722","0.11324503795068389"
"12","1","2.2782352766154506","0.24068210998418843","3.409428890041361","3.330291606761264","1.681828414305772","1.7992377406251532","0.24068210998418843"
